ARCADE 0.220      Mar 26, 2020
kov2nl            "Knights of Valour 2 New Legend / Sanguo Zhan Ji 2 Guang Sao Yu Jun (V302, Oversea)"
kov2nl_300        "Knights of Valour 2 New Legend / Sanguo Zhan Ji 2 Guang Sao Yu Jun (V300, Oversea)"
kov2nl_300cn      "Sanguo Zhan Ji 2 Gaishi Yingxiong (V300, China)"
kov2nl_301        "Knights of Valour 2 New Legend / Sanguo Zhan Ji 2 Guang Sao Yu Jun (V301, Oversea)"
kov2nl_301cn      "Sanguo Zhan Ji 2 Gaishi Yingxiong (V301, China)"
kov2nl_302cn      "Sanguo Zhan Ji 2 Gaishi Yingxiong (V302, China)"
kov2p             "Knights of Valour 2 Plus - Nine Dragons / Sanguo Zhan Ji 2 Qunxiong Zhengba / Sanguo Zhan Ji 2 Feilong Zai Tian / Sangoku Senki Busyou Souha (ver. M205XX, 200, 100CN)"
kov2p200          "Knights of Valour 2 Plus - Nine Dragons / Sanguo Zhan Ji 2 Qunxiong Zhengba / Sanguo Zhan Ji 2 Feilong Zai Tian / Sangoku Senki Busyou Souha (ver. M200XX, 200, 100CN)"
kov2p202          "Knights of Valour 2 Plus - Nine Dragons / Sanguo Zhan Ji 2 Qunxiong Zhengba / Sanguo Zhan Ji 2 Feilong Zai Tian / Sangoku Senki Busyou Souha (ver. M202XX, 200, 100CN)"
kov2p204          "Knights of Valour 2 Plus - Nine Dragons / Sanguo Zhan Ji 2 Qunxiong Zhengba / Sanguo Zhan Ji 2 Feilong Zai Tian / Sangoku Senki Busyou Souha (ver. M204XX, 200, 100CN)"
kov3              "Knights of Valour 3 / Sanguo Zhan Ji 3 (V104, China, Hong Kong, Taiwan)"
kov3_100          "Knights of Valour 3 / Sanguo Zhan Ji 3 (V100, China, Hong Kong, Taiwan)"
kov3_101          "Knights of Valour 3 / Sanguo Zhan Ji 3 (V101, China, Hong Kong, Taiwan)"
kov3_102          "Knights of Valour 3 / Sanguo Zhan Ji 3 (V102, China, Hong Kong, Taiwan)"
kov7sprt          "Knights of Valour - The Seven Spirits"
kovlsjb           "Luanshi Jie Ba (bootleg of Knights of Valour Super Heroes Plus, ver. 200CN, set 1)"
kovlsjba          "Luanshi Jie Ba (bootleg of Knights of Valour Super Heroes Plus, ver. 200CN, set 2)"
kovlsqh           "Luanshi Quanhuang (bootleg of Knights of Valour Super Heroes Plus, ver. 200CN)"
kovlsqh2          "Luanshi Quanhuang 2 (bootleg of Knights of Valour Super Heroes Plus, ver. 200CN)"
kovplus           "Knights of Valour Plus / Sanguo Zhan Ji Zhengzong Plus / Sangoku Senki Masamune Plus (ver. 119, set 1)"
kovplusa          "Knights of Valour Plus / Sanguo Zhan Ji Zhengzong Plus / Sangoku Senki Masamune Plus (ver. 119, set 2)"
kovqhsgs          "Quanhuang Sanguo Tebie Ban (bootleg of Knights of Valour Super Heroes, V303CN, Nov 21 2008 19:03:49)"
kovsgqyz          "Sanguo Qunying Chuan Zhengzong Plus (bootleg of Knights of Valour Plus, set 1)"
kovsgqyza         "Sanguo Qunying Chuan Zhengzong Plus (bootleg of Knights of Valour Plus, set 2)"
kovsgqyzb         "Sanguo Qunying Chuan Zhengzong Plus (bootleg of Knights of Valour Plus, set 3)"
kovsh             "Knights of Valour Super Heroes / Sanguo Zhan Ji Fengyun Zaiqi / Sangoku Senki Super Heroes (ver. 104, CN)"
kovsh100          "Knights of Valour Super Heroes / Sanguo Zhan Ji Fengyun Zaiqi / Sangoku Senki Super Heroes (ver. 100, CN)"
kovsh101          "Knights of Valour Super Heroes / Sanguo Zhan Ji Fengyun Zaiqi / Sangoku Senki Super Heroes (ver. 101, CN)"
kovsh102          "Knights of Valour Super Heroes / Sanguo Zhan Ji Fengyun Zaiqi / Sangoku Senki Super Heroes (ver. 102, CN)"
kovsh103          "Knights of Valour Super Heroes / Sanguo Zhan Ji Fengyun Zaiqi / Sangoku Senki Super Heroes (ver. 103, CN)"
kovshp            "Knights of Valour Super Heroes Plus / Sanguo Zhan Ji Luanshi Xiaoxiong (ver. 101)"
kovshpa           "Knights of Valour Super Heroes Plus / Sanguo Zhan Ji Luanshi Xiaoxiong (ver. 100)"
kovshxas          "Aoshi Sanguo (bootleg of Knights of Valour Super Heroes Plus, V202CN, Oct 6 2008 09:59:26)"
kovytzy           "Knights of Valour Super Heroes / Sanguo Zhan Ji Fengyun Zaiqi / Sangoku Senki Super Heroes (SANGO EX+) (ver. 201 'Yitong Zhongyuan', China)"
kozure            "Kozure Ookami (Japan)"
kram              "Kram (set 1)"
kram2             "Kram (set 2)"
kram3             "Kram (encrypted)"
kroozr            "Kozmik Kroozr"
krull             "Krull"
krzybowl          "Krazy Bowl"
ksayakyu          "Kusayakyuu"
ktiger            "Kyukyoku Tiger (Japan)"
ktiger2           "Kyukyoku Tiger II (Ver 2.1J 1995/11/30)"
kuhga             "Kuhga - Operation Code 'Vapor Trail' (Japan revision 3)"
kungfub           "Kung-Fu Master (bootleg set 1)"
kungfub2          "Kung-Fu Master (bootleg set 2)"
kungfum           "Kung-Fu Master (World)"
kungfumd          "Kung-Fu Master (US)"
kungfur           "Kung-Fu Roushi"
kungfut           "Kung-Fu Taikun (set 1)"
kungfuta          "Kung-Fu Taikun (set 2)"
kuniokun          "Nekketsu Kouha Kunio-kun (Japan)"
kuniokunb         "Nekketsu Kouha Kunio-kun (Japan bootleg)"
kurdart           "Kursaal Darts"
kurikint          "Kuri Kinton (World)"
kurikinta         "Kuri Kinton (World, prototype?)"
kurikintj         "Kuri Kinton (Japan)"
kurikintu         "Kuri Kinton (US)"
kurikintw         "Kuri Kinton (US, World Games license)"
kurucham          "Kurukuru Chameleon (Japan) (GDL-0034)"
kurufev           "Kurukuru Fever"
kurukuru          "Kuru Kuru Pyon Pyon (Japan)"
kviper            "Konami Viper BIOS"
kyros             "Kyros"
kyrosj            "Kyros no Yakata (Japan)"
kyuhito           "Kyukyoku no Hito [BET] (Japan 880824)"
kyukaidk          "Kyuukai Douchuuki (Japan, new version (Rev B))"
kyukaidko         "Kyuukai Douchuuki (Japan, old version)"
kyustrkr          "Last Striker / Kyuukyoku no Striker"
labyrunr          "Labyrinth Runner (Japan)"
labyrunrk         "Labyrinth Runner (World Ver. K)"
lacrazyc          "Let's Attack Crazy Cross (GV027 Asia 1.10)"
ladybug           "Lady Bug"
ladybugb          "Lady Bug (bootleg set 1)"
ladybugb2         "Coccinelle (bootleg of Lady Bug, set 2)"
ladybugg          "Lady Bug (bootleg on Galaxian hardware)"
ladyfrog          "Lady Frog"
ladygolf          "Vs. Stroke & Match Golf (Ladies Version, set LG4 ?)"
ladygolfe         "Vs. Stroke & Match Golf (Ladies Version, set LG4 E)"
ladykill          "Lady Killer"
ladymakr          "Lady Maker [BET] (Japan)"
ladymstr          "Lady Master of Kung Fu (set 1, newer)"
ladymstr2         "Lady Master of Kung Fu (set 2, older)"
lagirl            "LA Girl"
lagunar           "Laguna Racer"
lamachin          "L.A. Machineguns"
landbrk           "Land Breaker (World) / Miss Tang Ja Ru Gi (Korea) (pcb ver 3.02)"
landbrka          "Land Breaker (World) / Miss Tang Ja Ru Gi (Korea) (pcb ver 3.03) (AT89c52 protected)"
landbrkb          "Land Breaker (World) / Miss Tang Ja Ru Gi (Korea) (pcb ver 1.0) (AT89c52 protected)"
landgear          "Landing Gear (Ver 4.2 O)"
landgeara         "Landing Gear (Ver 3.1 O)"
landgearj         "Landing Gear (Ver 4.2 J)"
landgearja        "Landing Gear (Ver 3.0 J)"
landhigh          "Landing High Japan (Ver 2.01 OK)"
landhigha         "Landing High Japan (Ver 2.02 O)"
landmakr          "Land Maker (Ver 2.02O 1998/06/02)"
landmakrj         "Land Maker (Ver 2.01J 1998/06/01)"
landmakrp         "Land Maker (Ver 2.02O 1998/06/02, prototype)"
lans2004          "Lansquenet 2004 (Shock Troopers - 2nd Squad bootleg)"
laser             "Astro Laser (bootleg of Space Laser)"
laserbas          "Laser Base (set 1)"
laserbasa         "Laser Base (set 2)"
laserbat          "Laser Battle"
lasso             "Lasso"
lasstixx          "Laser Strixx 2"
lastapos          "The Last Apostle Puppetshow"
lastbank          "Last Bank (v1.16)"
lastbh            "The Last Bounty Hunter v1.01"
lastbh_006        "The Last Bounty Hunter v0.06"
lastblad          "The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGM-2340)"
lastbladh         "The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGH-2340)"
lastbld2          "The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi (NGM-2430 ~ NGH-2430)"
lastbrnx          "Last Bronx (Export, Revision A)"
lastbrnxj         "Last Bronx (Japan, Revision A)"
lastbrnxu         "Last Bronx (USA, Revision A)"
lastday           "The Last Day (set 1)"
lastdaya          "The Last Day (set 2)"
lastduel          "Last Duel (US New Ver.)"
lastduelb         "Last Duel (bootleg)"
lastduelj         "Last Duel (Japan)"
lastduelo         "Last Duel (US Old Ver.)"
lastfght          "Last Fighting"
lastfort          "Last Fortress - Toride (Japan, VG420 PCB)"
lastforte         "Last Fortress - Toride (China, Rev C)"
lastfortea        "Last Fortress - Toride (China, Rev A)"
lastfortg         "Last Fortress - Toride (Germany)"
lastfortj         "Last Fortress - Toride (Japan, VG460 PCB)"
lastfortk         "Last Fortress - Toride (Korea)"
lastfour          "Last Four (09:12 16/01/2001)"
lasthope          "Last Hope (bootleg AES to MVS conversion, no coin support)"
lastkm            "Last KM (Ver 1.0.0275)"
lastmisn          "Last Mission (World revision 8)"
lastmisnj         "Last Mission (Japan)"
lastmisnu5        "Last Mission (US revision 5)"
lastmisnu6        "Last Mission (US revision 6)"
lastsold          "The Last Soldier (Korean release of The Last Blade)"
laststar          "The Last Starfighter (prototype)"
lastsurv          "Last Survivor (Japan) (FD1094 317-0083)"
lastsurvd         "Last Survivor (Japan) (bootleg of FD1094 317-0083 set)"
lazarian          "Lazarian"
lazercmd          "Lazer Command"
lbeach            "Long Beach"
lbgrande          "Libero Grande (World, LG2/VER.A)"
lbgrandeja        "Libero Grande (Japan, LG1/VER.A)"
lbowling          "League Bowling (NGM-019 ~ NGH-019)"
lbvbiosu          "VBios updater"
ldrun             "Lode Runner (set 1)"
ldrun2            "Lode Runner II - The Bungeling Strikes Back"
ldrun3            "Lode Runner III - The Golden Labyrinth"
ldrun3j           "Lode Runner III - Majin no Fukkatsu (Japan)"
ldrun4            "Lode Runner IV - Teikoku Karano Dasshutsu (Japan)"
ldruna            "Lode Runner (set 2)"
le2               "Lethal Enforcers II: Gun Fighters (ver EAA)"
le2j              "Lethal Enforcers II: The Western (ver JAA)"
le2u              "Lethal Enforcers II: Gun Fighters (ver UAA)"
leadang           "Lead Angle (Japan)"
leader            "Leader (version Z 2E, Greece)"
leaguemn          "Yakyuu Kakutou League-Man (Japan)"
leds2011          "Led Storm Rally 2011 (World)"
leds2011p         "Led Storm Rally 2011 (US, prototype 12)"
leds2011u         "Led Storm Rally 2011 (US)"
ledstorm          "Led Storm (US)"
legend            "Legend"
legendb           "Legion (bootleg of Legend)"
legendoh          "Legend of Heroes"
legendos          "Legend of Success Joe / Ashita no Joe Densetsu"
legendsb          "Legend (SNES bootleg)"
legion            "Legion - Spinner-87 (World ver 2.03)"
legionj           "Chouji Meikyuu Legion (Japan ver 1.05)"
legionjb          "Chouji Meikyuu Legion (Japan ver 1.05, bootleg set 1)"
legionjb2         "Chouji Meikyuu Legion (Japan ver 1.05, bootleg set 2)"
legionna          "Legionnaire (World)"
legionnaj         "Legionnaire (Japan)"
legionnau         "Legionnaire (US)"
legofair          "Koukuu Kihei Monogatari - The Legend of Air Cavalry (Japan)"
legrandc          "Le Grandchamps"
lemans24          "Le Mans 24 (Revision B)"
lemmings          "Lemmings (US prototype)"
lemnangl          "Mahjong Lemon Angel (Japan)"
leprechn          "Leprechaun"
leprechp          "Leprechaun (Pacific)"
lethalen          "Lethal Enforcers (ver UAE, 11/19/92 15:04)"
lethaleneaa       "Lethal Enforcers (ver EAA, 09/09/92 09:44)"
lethaleneab       "Lethal Enforcers (ver EAB, 10/14/92 19:53)"
lethalenead       "Lethal Enforcers (ver EAD, 11/11/92 10:52)"
lethaleneae       "Lethal Enforcers (ver EAE, 11/19/92 16:24)"
lethalenj         "Lethal Enforcers (ver JAD, 12/04/92 17:16)"
lethalenua        "Lethal Enforcers (ver UAA, 08/17/92 21:38)"
lethalenub        "Lethal Enforcers (ver UAB, 09/01/92 11:12)"
lethalenux        "Lethal Enforcers (ver unknown, US, 08/06/92 15:11, hacked/proto?)"
lethalj           "Lethal Justice (Version 2.3)"
lethalth          "Lethal Thunder (World)"
letsgoju          "Let's Go Jungle (Export)"
levers            "Levers"
lghost            "Laser Ghost (World) (FD1094 317-0166)"
lghostd           "Laser Ghost (World) (bootleg of FD1094 317-0166 set)"
lghostj           "Laser Ghost (Japan) (FD1094 317-0164)"
lghostu           "Laser Ghost (US) (FD1094 317-0165)"
lghostud          "Laser Ghost (US) (bootleg of FD1094 317-0165 set)"
lgtnfght          "Lightning Fighters (World)"
lgtnfghta         "Lightning Fighters (Asia)"
lgtnfghtu         "Lightning Fighters (US)"
lhb               "Long Hu Bang (China, V035C)"
lhb2              "Long Hu Bang II (Hong Kong, V185H)"
lhbv33c           "Long Hu Bang (China, V033C)"
lhzb2             "Mahjong Long Hu Zhengba 2 (set 1)"
lhzb2a            "Mahjong Long Hu Zhengba 2 (VS221M)"
liberate          "Liberation"
liberateb         "Liberation (bootleg)"
liberatr          "Liberator (set 1)"
liberatr2         "Liberator (set 2)"
liblrabl          "Libble Rabble"
lifefrce          "Lifeforce (US)"
lifefrcej         "Lifeforce (Japan)"
lightbr           "Light Bringer (Ver 2.2O 1994/04/08)"
lightbrj          "Light Bringer (Ver 2.1J 1994/02/18)"
lindbios          "Sega Lindbergh Bios"
linkypip          "Linky Pipe"
liquidk           "Liquid Kids (World)"
liquidku          "Liquid Kids (US)"
lithero           "Little Hero"
littlerb          "Little Robin"
livegal           "Live Gal [BET] (Japan 870530)"
livequiz          "Live Quiz Show"
lizwiz            "Lizard Wizard"
lkage             "The Legend of Kage"
lkageb            "The Legend of Kage (bootleg set 1)"
lkageb2           "The Legend of Kage (bootleg set 2)"
lkageb3           "The Legend of Kage (bootleg set 3)"
lkageo            "The Legend of Kage (older)"
lkageoo           "The Legend of Kage (oldest)"
llander           "Lunar Lander (rev 2)"
llander1          "Lunar Lander (rev 1)"
llandert          "Lunar Lander (screen test)"
lnc               "Lock'n'Chase"
lockload          "Locked 'n Loaded (World)"
lockloadu         "Locked 'n Loaded (US, Dragon Gun conversion)"
lockon            "Lock-On (rev. E)"
lockonc           "Lock-On (rev. C)"
lockonph          "Lock On (Philko)"
locoboot          "Loco-Motion (bootleg)"
locomotn          "Loco-Motion"
loderndf          "Lode Runner - The Dig Fight (ver. B)"
loderndfa         "Lode Runner - The Dig Fight (ver. A)"
loffire           "Line of Fire / Bakudan Yarou (World) (FD1094 317-0136)"
loffired          "Line of Fire / Bakudan Yarou (World) (bootleg of FD1094 317-0136 set)"
loffirej          "Line of Fire / Bakudan Yarou (Japan) (FD1094 317-0134)"
loffirejd         "Line of Fire / Bakudan Yarou (Japan) (bootleg of FD1094 317-0134 set)"
loffireu          "Line of Fire / Bakudan Yarou (US) (FD1094 317-0135)"
loffireud         "Line of Fire / Bakudan Yarou (US) (bootleg of FD1094 317-0135 set)"
logger            "Logger (Rev.3)"
loggerr2          "Logger (Rev.2)"
logicpr2          "Logic Pro 2 (Japan)"
logicpro          "Logic Pro (Japan)"
loht              "Legend of Hero Tonma (World)"
loht_ms           "Legend of Hero Tonma (Gaelco bootleg, Modular System)"
lohtb             "Legend of Hero Tonma (unprotected bootleg)"
lohtb2            "Legend of Hero Tonma (Japan, bootleg with i8751)"
lohtb3            "Legend of Hero Tonma (World, bootleg with i8751)"
lohtj             "Legend of Hero Tonma (Japan)"
lomakai           "Legend of Makai (World)"
looper            "Looper"
looping           "Looping"
loopingv          "Looping (Venture Line license, set 1)"
loopingva         "Looping (Venture Line license, set 2)"
lordgun           "Lord of Gun (USA)"
lordofk           "The Lord of King (Japan)"
lordofkb          "The Lord of King (bootleg)"
losttomb          "Lost Tomb (easy)"
losttombh         "Lost Tomb (hard)"
lostwrld          "Lost Worlds (Japan)"
lostwrldo         "Lost Worlds (Japan Old Ver.)"
lostwsga          "The Lost World (Revision A)"
lostwsgp          "The Lost World (location test)"
lotlot            "Lot Lot"
lottof2           "Lotto Fun 2"
lottofun          "Lotto Fun"
lovehous          "Mahjong Love House [BET] (Japan 901024)"
loverboy          "Lover Boy"
lpadv             "Logic Pro Adventure (Japan)"
lrescue           "Lunar Rescue"
lrescuem          "Lunar Rescue (Model Racing bootleg, set 1)"
lrescuem2         "Lunar Rescue (Model Racing bootleg, set 2)"
lresort           "Last Resort"
lresortp          "Last Resort (prototype)"
lsasquad          "Land Sea Air Squad / Riku Kai Kuu Saizensen"
lsrquiz           "Laser Quiz Italy"
lsrquiz2i         "Laser Quiz 2 Italy (v1.0)"
lsrquizg          "Laser Quiz Greece"
ltswords          "Lightning Swords"
luckboom          "Lucky Boom"
luckboomh         "Lucky Boom (Hard Times hardware)"
luckygrl          "Lucky Girl (Wing)"
luckypkr          "Lucky Poker (bootleg/hack of Major Poker)"
luckyrlt          "Lucky Roulette Plus (6-players, Spanish)"
luckywld          "Lucky & Wild"
luckywldj         "Lucky & Wild (Japan)"
luctoday          "Lucky Today"
lufykzku          "Otakara Itadaki Luffy Kaizoku-Dan! (Japan, v1.02)"
lunarba1          "Lunar Battle (prototype, earlier)"
lunarbat          "Lunar Battle (prototype, later)"
lupin3            "Lupin III (set 1)"
lupin3a           "Lupin III (set 2)"
lupinsho          "Lupin The Third - The Shooting (Rev A) (GDS-0018A)"
lupinshoo         "Lupin The Third - The Shooting (GDS-0018)"
luplup            "Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 3.0 / 990128)"
luplup10          "Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 1.05 / 981214)"
luplup29          "Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 2.9 / 990108)"
luptype           "Lupin The Third - The Typing (Rev A) (GDS-0021A)"
lvgirl94          "Las Vegas Girl (Girl '94)"
lwings            "Legendary Wings (US set 1)"
lwings2           "Legendary Wings (US set 2)"
lwingsb           "Legendary Wings (bootleg)"
lwingsj           "Ares no Tsubasa (Japan)"
lwingsja          "Ares no Tsubasa (Japan, rev. A)"
m4                "M-4"
m660              "Mission 660 (US)"
m660b             "Mission 660 (bootleg)"
m660j             "Mission 660 (Japan)"
m79amb            "M-79 Ambush"
ma6710            "Multi-Action 6710-13"
ma7551            "Multi-Action 7551"
ma7556            "Multi-Action 7556"
mac2bios          "Multi Amenity Cassette System 2 BIOS"
mace              "Mace: The Dark Age (boot ROM 1.0ce, HDD 1.0b)"
macea             "Mace: The Dark Age (HDD 1.0a)"
mach3             "M.A.C.H. 3 (set 1)"
mach3a            "M.A.C.H. 3 (set 2)"
mach3b            "M.A.C.H. 3 (set 3)"
mach9             "Mach-9 (bootleg of Vulgus)"
macha             "Monoshiri Quiz Osyaberi Macha (Japan)"
machbrkr          "Mach Breakers (World, MB2)"
machbrkrj         "Mach Breakers - Numan Athletics 2 (Japan, MB1)"
machomou          "Macho Mouse"
macross           "Super Spacefortress Macross / Chou-Jikuu Yousai Macross"
macross2          "Super Spacefortress Macross II / Chou-Jikuu Yousai Macross II"
macross2g         "Super Spacefortress Macross II / Chou-Jikuu Yousai Macross II (GAMEST review build)"
macross2k         "Macross II (Korea)"
macrossp          "Macross Plus"
macsbios          "Multi Amenity Cassette System BIOS"
madalien          "Mad Alien (set 1)"
madaliena         "Mad Alien (set 2)"
madalienb         "Mad Alien (set 2, alt gfx)"
madball           "Mad Ball V2.0"
madballn          "Mad Ball V2.0 (With Nudity)"
madcrash          "Mad Crasher"
madcrush          "Mad Crusher (Japan)"
maddog            "Mad Dog McCree v2.03 board rev.B"
maddog2           "Mad Dog II: The Lost Gold v2.04"
maddog2_100       "Mad Dog II: The Lost Gold v1.00"
maddog2_110       "Mad Dog II: The Lost Gold v1.10"
maddog2_202       "Mad Dog II: The Lost Gold v2.02"
maddog_202        "Mad Dog McCree v2.02 board rev.B"
maddoga           "Mad Dog McCree v1C board rev.A"
maddonna          "Mad Donna (Tuning, set 1)"
maddonnab         "Mad Donna (Tuning, set 2)"
madgear           "Mad Gear (US)"
madgearj          "Mad Gear (Japan)"
madmotor          "Mad Motor (prototype)"
madshark          "Mad Shark"
madzoo            "Mad Zoo (version U450C)"
mag_burn          "The Burning Cavern (31/03/87)"
mag_day           "A Day In Space (31/03/87)"
mag_exzi          "Exzisus (EX 1.0, Magnet System)"
mag_time          "Time Scanner (TS 2.0, Magnet System)"
mag_war           "War Mission (WM 04/06/87)"
mag_wara          "War Mission (WM 09/04/87)"
mag_xain          "Xain'd Sleena (SC 3.0, Magnet System)"
magdrop           "Magical Drop (Japan, Version 1.1, 1995.06.21)"
magdrop2          "Magical Drop II"
magdrop3          "Magical Drop III"
magdropp          "Magical Drop Plus 1 (Japan, Version 2.1, 1995.09.12)"
magerror          "Magical Error wo Sagase"
magibomb          "Magic Bomb"
magicbal          "Magicball Fighting (Korea)"
magicbub          "Magic Bubble"
magicbuba         "Magic Bubble (Adult version, YS1302 PCB, set 1)"
magicbubb         "Magic Bubble (Adult version, YS1302 PCB, set 2)"
magicbubc         "Magic Bubble (Adult version, YS-0211 PCB)"
magicstk          "Magic Sticks"
magipur           "Magic Purple"
magix             "Magix / Rock"
magixb            "Magix / Rock (no copyright message)"
magjoker          "Magic Joker (v1.25.10.2000)"
maglord           "Magician Lord (NGM-005)"
maglordh          "Magician Lord (NGH-005)"
magmax            "Mag Max"
magreel           "Magic Reels"
magspeed          "Magical Speed"
magspot           "Magical Spot"
magspot2          "Magical Spot II"
magtouch          "Magical Touch"
magtruck          "Magical Truck Adventure (Japan)"
maguila           "Up Maguila (bootleg of Donkey Kong Jr.)"
magworm           "Magic Worm (bootleg of Centipede, set 1)"
magworma          "Magic Worm (bootleg of Centipede, set 2)"
magzun            "Magical Zunou Power (J 961031 V1.000)"
mahjngoh          "Mahjong Oh (V2.06J 1999/11/23 08:52:22)"
mahmajn           "Tokoro San no MahMahjan (Japan, ROM Based)"
mahmajn2          "Tokoro San no MahMahjan 2 (Japan, ROM Based)"
mahoudai          "Mahou Daisakusen (Japan)"
mahretsu          "Mahjong Kyo Retsuden (NGM-004 ~ NGH-004)"
maiko             "Maikobana (Japan 900802)"
mainevt           "The Main Event (4 Players ver. Y)"
mainevt2p         "The Main Event (2 Players ver. X)"
mainevto          "The Main Event (4 Players ver. F)"
mainsnk           "Main Event (1984)"
majest12j         "Majestic Twelve - The Space Invaders Part IV (Japan)"
majest12u         "Majestic Twelve - The Space Invaders Part IV (US)"
majorpkr          "Major Poker (set 1, v2.0)"
majorpkra         "Major Poker (set 2, Micro Manufacturing intro)"
majorpkrb         "Major Poker (set 3, Micro Manufacturing intro)"
majorpkrc         "Major Poker (set 4, Micro Manufacturing intro)"
majrjhdx          "Mahjong Raijinhai DX"
majs101b          "Mahjong Studio 101 [BET] (Japan)"
majtitl2          "Major Title 2 (World, set 1)"
majtitl2a         "Major Title 2 (World, set 1, alt sound CPU)"
majtitl2b         "Major Title 2 (World, set 2)"
majtitl2j         "Major Title 2 (Japan)"
majtitle          "Major Title (World)"
majtitlej         "Major Title (Japan)"
majuu             "Majuu no Ohkoku"
majxtal7          "Mahjong X-Tal 7 - Crystal Mahjong / Mahjong Diamond 7 (Japan)"
makaiden          "Makai Densetsu (Japan)"
makaijan          "Makaijan [BET] (Japan)"
makaimur          "Makai-Mura (Japan)"
makaimurc         "Makai-Mura (Japan Revision C)"
makaimurg         "Makai-Mura (Japan Revision G)"
maketrax          "Make Trax (US set 1)"
maketrxb          "Make Trax (US set 2)"
makyosen          "Makyou Senshi (Japan)"
maldaiza          "Maldaliza"
maletmad          "Mallet Madness v2.1"
malzak            "Malzak"
malzak2           "Malzak II"
mamboagg          "Mambo A Go-Go (GQA40 VER. JAB)"
mamboagga         "Mambo A Go-Go e-Amusement (GQA40 VER. JRB)"
mamonoro          "Mamoru-kun wa Norowarete Shimatta! (Japan)"
mandinga          "Mandinga (Artemi bootleg of Amidar)"
mandingac         "Mandanga (bootleg of Mandinga on Galaxian hardware, set 2)"
mandingaeg        "Mandinga (Electrogame S.A. bootleg of Amidar)"
mandingarf        "Mandanga (bootleg of Mandinga on Galaxian hardware, set 1)"
mangchi           "Mang-Chi"
manhatan          "Manhattan 24 Bunsyo (Japan)"
maniach           "Mania Challenge (set 1)"
maniach2          "Mania Challenge (set 2)"
maniacsp          "Maniac Square (prototype)"
maniacsq          "Maniac Square (protected, Version 1.0, Checksum DEEE)"
maniacsqa         "Maniac Square (protected, Version 1.0, Checksum CF2D)"
maniacsqs         "Maniac Square (unprotected, Version 1.0, Checksum 66B1, 960419/1 PCB)"
maniacsqu         "Maniac Square (unprotected, Version 1.0, Checksum BB73)"
manicpnc          "Manic Panic Ghosts! (USA, Export)"
manxtt            "Manx TT Superbike - DX (Revision D)"
manxttc           "Manx TT Superbike - Twin (Revision C)"
manybloc          "Many Block"
mappy             "Mappy (US)"
mappyj            "Mappy (Japan)"
marble            "Marble Madness (set 1)"
marble2           "Marble Madness (set 2)"
marble3           "Marble Madness (set 3)"
marble4           "Marble Madness (set 4)"
marble5           "Marble Madness (set 5 - LSI Cartridge)"
marineb           "Marine Boy"
marinedt          "Marine Date"
mariner           "Mariner"
mario             "Mario Bros. (US, Revision G)"
mariobl           "Mario Bros. (bootleg on Ambush Hardware, set 1)"
mariobla          "Mario Bros. (bootleg on Ambush Hardware, set 2)"
marioe            "Mario Bros. (US, Revision E)"
mariof            "Mario Bros. (US, Revision F)"
marioj            "Mario Bros. (Japan, Revision C)"
markham           "Markham"
mars              "Mars"
marstv            "Mars TV (Japan)"
martmast          "Martial Masters / Xing Yi Quan (ver. 104, 102, 102US)"
martmastc         "Martial Masters / Xing Yi Quan (ver. 104, 102, 101CN)"
martmastc102      "Martial Masters / Xing Yi Quan (ver. 102, 101, 101CN)"
martmastc103      "Martial Masters / Xing Yi Quan (ver. 103, 102, 101CN)"
martmasttw        "Martial Masters / Xing Yi Quan (ver. 102, 101, 101TW)"
maruchan          "Maru-Chan de Goo! (J 971216 V1.000)"
marukin           "Super Marukin-Ban (Japan 901017)"
marukodq          "Chibi Marukochan Deluxe Quiz"
marvice           "Marbella Vice"
marvins           "Marvin's Maze"
marvland          "Marvel Land (US, prototype?)"
marvlandj         "Marvel Land (Japan)"
masao             "Masao"
masmario          "Super Mario Fushigi no Korokoro Party (center)"
masmario2         "Super Mario Fushigi no Korokoro Party 2"
masmarios         "Super Mario Fushigi no Korokoro Party (satellite)"
mastboy           "Master Boy (Spanish, PCB Rev A)"
mastboya          "Master Boy (Spanish, PCB Rev A, hack?)"
mastboyi          "Master Boy (Italian, PCB Rev A, set 1)"
mastboyia         "Master Boy (Italian, PCB Rev A, set 2)"
mastboyo          "Master Boy (1987, Z80 hardware, Covielsa, set 1)"
mastboyoa         "Master Boy (1987, Z80 hardware, Covielsa, set 2)"
mastboyob         "Master Boy (1987, Z80 hardware, Ichi-Funtel)"
masterw           "Master of Weapon (World)"
masterwj          "Master of Weapon (Japan)"
masterwu          "Master of Weapon (US)"
mastkin           "The Masters of Kin"
mastninj          "Master Ninja (bootleg of Shadow Warriors / Ninja Gaiden)"
mastrglf          "Master's Golf"
matchemg          "Match'em Up (German)"
matchit           "Match It"
matchit2          "Match It II"
matmania          "Mat Mania"
matrim            "Matrimelee / Shin Gouketsuji Ichizoku Toukon (NGM-2660 ~ NGH-2660)"
